Scheduling Policy,n,rho,Num Customers,Avg Waiting Time,Confidence Interval
SJF,2,0.95,500,8.711449332696482,"(8.501650829920912, 8.921247835472052)"
SJF,2,0.95,750,8.948124520253307,"(8.349966568164408, 9.546282472342206)"
SJF,2,0.95,1000,10.047448549822072,"(9.13390931689038, 10.960987782753763)"
SJF,2,0.95,1250,10.697723331690732,"(9.303023520300377, 12.092423143081087)"
SJF,2,0.95,1500,10.119693972608196,"(5.85856630340317, 14.380821641813224)"
SJF,2,0.95,1750,9.9574092460811,"(-2.896406889243462, 22.811225381405663)"
SJF,2,0.95,2000,11.427497845524012,"(9.821501480284677, 13.033494210763347)"
SJF,2,0.95,2250,12.945176338064861,"(-13.551638614004926, 39.44199129013465)"
SJF,2,0.95,2500,15.242088577211522,"(-39.404825183942364, 69.88900233836542)"
SJF,2,0.95,2750,15.83849347675632,"(-57.20876524417293, 88.88575219768558)"
SJF,2,0.95,3000,16.307744566733465,"(-69.09476020677016, 101.71024934023708)"
SJF,2,0.95,3250,15.698452105147544,"(-60.13506585392718, 91.53197006422226)"
SJF,2,0.95,3500,15.814536948559919,"(-46.75640889712259, 78.38548279424242)"
SJF,2,0.95,3750,15.440675310321765,"(-47.675141194430296, 78.55649181507383)"
SJF,2,0.95,4000,14.973302581056892,"(-43.79752608716863, 73.74413124928242)"
SJF,2,0.95,4250,14.234647232445212,"(-40.66271031683895, 69.13200478172936)"
SJF,2,0.95,4500,13.711854572995763,"(-37.11904351716984, 64.54275266316137)"
SJF,2,0.95,4750,13.321064774616342,"(-33.65205889502829, 60.29418844426098)"
SJF,2,0.95,5000,13.155001307042347,"(-30.186663834890822, 56.49666644897552)"
SJF,2,0.95,5250,13.319282083391094,"(-34.007170924721684, 60.64573509150387)"
SJF,2,0.95,5500,13.87130859876934,"(-40.37619956065911, 68.1188167581978)"
SJF,2,0.95,5750,15.398447944545744,"(-20.226041402309086, 51.022937291400574)"
SJF,2,0.95,6000,16.290532549438083,"(-0.4912225673021524, 33.07228766617832)"
SJF,2,0.95,6250,17.235945905981037,"(15.21163857805926, 19.260253233902812)"
SJF,2,0.95,6500,18.36377139203569,"(-1.4029109977274246, 38.130453781798806)"
SJF,2,0.95,6750,19.039411274018427,"(-15.44846657594097, 53.52728912397782)"
SJF,2,0.95,7000,19.658888602651523,"(-22.63076404509146, 61.948541250394506)"
SJF,2,0.95,7250,19.689263242167875,"(-22.861731278259427, 62.24025776259518)"
SJF,2,0.95,7500,19.405912619427763,"(-25.310200918684874, 64.1220261575404)"
SJF,2,0.95,7750,19.030967600997673,"(-26.120001719175978, 64.18193692117133)"
SJF,2,0.95,8000,18.88573942151979,"(-26.089496958027294, 63.86097580106687)"
SJF,2,0.95,8250,18.673558497591458,"(-27.419042230923736, 64.76615922610665)"
SJF,2,0.95,8500,18.379428926744175,"(-27.898324976028036, 64.65718282951639)"
SJF,2,0.95,8750,18.12685827049513,"(-27.879342611321757, 64.13305915231201)"
SJF,2,0.95,9000,17.919804812511963,"(-24.837427240340638, 60.67703686536456)"
SJF,2,0.95,9250,17.972754735956034,"(-18.22760286721598, 54.17311233912805)"
SJF,2,0.95,9500,17.888944096577642,"(-14.108567836944996, 49.88645603010028)"
SJF,2,0.95,9750,17.63260642347345,"(-14.53972474330121, 49.804937590248116)"
SJF,2,0.99,0,0.0,"(0.0, 0.0)"
SJF,2,0.99,250,13.553050278638626,"(-32.90408202759512, 60.01018258487237)"
SJF,2,0.99,500,15.535862590348863,"(-12.491356609464432, 43.56308179016216)"
SJF,2,0.99,750,17.472470552633595,"(-24.194821653225, 59.13976275849219)"
SJF,2,0.99,1000,19.734511089805977,"(-45.908337151992725, 85.37735933160468)"
SJF,2,0.99,1250,27.492535345194888,"(-92.15847964413663, 147.14355033452642)"
SJF,2,0.99,1500,32.742470679610506,"(-78.58680729739191, 144.07174865661293)"
SJF,2,0.99,1750,39.218799210897814,"(-32.23992384346211, 110.67752226525774)"
SJF,2,0.99,2000,43.05109390294816,"(24.606370010619145, 61.495817795277176)"
SJF,2,0.99,2250,44.85101765652209,"(40.693636855662284, 49.008398457381894)"
SJF,2,0.99,2500,46.546213691411005,"(39.236196565195925, 53.856230817626084)"
SJF,2,0.99,2750,45.699523914386134,"(11.63894605365823, 79.76010177511404)"
SJF,2,0.99,3000,46.79204281548262,"(-22.706253162409553, 116.29033879337479)"
SJF,2,0.99,3250,48.39556138856011,"(-39.31109715657587, 136.1022199336961)"
SJF,2,0.99,3500,49.13804644013653,"(-51.594178072873994, 149.87027095314704)"
SJF,2,0.99,3750,49.651354124475176,"(-67.37726827357353, 166.67997652252387)"
SJF,2,0.99,4000,49.86113104524121,"(-95.51279712418425, 195.23505921466665)"
SJF,2,0.99,4250,50.42520835101867,"(-127.48762977810084, 228.3380464801382)"
SJF,2,0.99,4500,50.69100270520836,"(-150.42488545187945, 251.80689086229614)"
SJF,2,0.99,4750,52.06392382363654,"(-160.8754190355558, 265.0032666828289)"
SJF,2,0.99,5000,53.556370609965846,"(-169.80148722837208, 276.9142284483038)"
SJF,2,0.99,5250,53.854010078888564,"(-168.57560216676515, 276.2836223245423)"
SJF,2,0.99,5500,54.214141671886146,"(-163.4988907375494, 271.9271740813217)"
SJF,2,0.99,5750,54.953919159089665,"(-145.12562462870346, 255.03346294688282)"
SJF,2,0.99,6000,56.475121220124365,"(-113.46658761454434, 226.41683005479308)"
SJF,2,0.99,6250,57.481824662861484,"(-95.75600063951971, 210.7196499652427)"
SJF,2,0.99,6500,58.174967111440736,"(-93.08018650542769, 209.43012072830916)"
SJF,2,0.99,6750,58.68898577104859,"(-97.16806161894043, 214.5460331610376)"
SJF,2,0.99,7000,59.18627171451588,"(-110.30892712796252, 228.68147055699427)"
SJF,2,0.99,7250,59.41522964384323,"(-120.72667231529117, 239.55713160297762)"
SJF,2,0.99,7500,59.42092064064435,"(-130.07894446566817, 248.92078574695685)"
SJF,2,0.99,7750,59.81009489807559,"(-128.77107303472158, 248.39126283087276)"
SJF,2,0.99,8000,59.970013094729396,"(-135.69892965943689, 255.6389558488957)"
SJF,2,0.99,8250,60.22421129605101,"(-133.6728944738883, 254.12131706599033)"
SJF,2,0.99,8500,59.84857535149592,"(-130.16370321551005, 249.8608539185019)"
SJF,2,0.99,8750,59.0252545563026,"(-124.90676666410971, 242.9572757767149)"
SJF,2,0.99,9000,58.4052025523826,"(-117.92835931216973, 234.73876441693494)"
SJF,2,0.99,9250,57.95317815418437,"(-108.923166027793, 224.82952233616174)"
SJF,2,0.99,9500,57.660176799288095,"(-98.82909115890364, 214.14944475747984)"
SJF,2,0.99,9750,57.12283950125346,"(-91.26888640407276, 205.51456540657966)"
SJF,4,0.95,0,0.0,"(0.0, 0.0)"
SJF,4,0.95,250,2.3021677178641324,"(-1.9312417436266642, 6.535577179354929)"
SJF,4,0.95,500,3.428821149919612,"(0.8338591468063745, 6.023783153032849)"
SJF,4,0.95,750,4.982665392337427,"(2.4447352724838205, 7.520595512191035)"
SJF,4,0.95,1000,5.557031590746339,"(-5.006693657303119, 16.1207568387958)"
SJF,4,0.95,1250,5.19313831412302,"(-6.198567439407343, 16.584844067653385)"
SJF,4,0.95,1500,4.980895622032177,"(-0.16473650114497662, 10.12652774520933)"
SJF,4,0.95,1750,6.3300632215784,"(6.114894408341907, 6.545232034814894)"
SJF,4,0.95,2000,8.488538848761305,"(8.371678161685153, 8.605399535837456)"
SJF,4,0.95,2250,10.263482002825798,"(5.575761374595925, 14.951202631055672)"
SJF,4,0.95,2500,10.630864550276081,"(-4.540949547048939, 25.802678647601102)"
SJF,4,0.95,2750,10.19895256703532,"(-7.404566861901852, 27.802471995972493)"
SJF,4,0.95,3000,9.870111483553318,"(-5.906625920793449, 25.646848887900084)"
SJF,4,0.95,3250,9.538364138150099,"(-6.64051972385405, 25.71724800015425)"
SJF,4,0.95,3500,9.310031985204903,"(-3.8888875014486004, 22.508951471858406)"
SJF,4,0.95,3750,9.010032006904826,"(-3.2460952568884807, 21.266159270698132)"
SJF,4,0.95,4000,8.740910396685548,"(-1.3244722187676459, 18.80629301213874)"
SJF,4,0.95,4250,8.55666729592284,"(1.9283870822611702, 15.184947509584507)"
SJF,4,0.95,4500,8.371320622254123,"(0.9538659191634808, 15.788775325344766)"
SJF,4,0.95,4750,8.413452462977736,"(-2.2708465635521247, 19.097751489507594)"
SJF,4,0.95,5000,8.03122324865299,"(-2.065591006320286, 18.128037503626267)"
SJF,4,0.95,5250,7.884435738936027,"(-2.051684775513447, 17.8205562533855)"
SJF,4,0.95,5500,7.845468982836072,"(0.7419524311019643, 14.94898553457018)"
SJF,4,0.95,5750,7.901258556317189,"(-1.2704268516720747, 17.072943964306454)"
SJF,4,0.95,6000,7.978004548816779,"(-4.438875766116425, 20.394884863749983)"
SJF,4,0.95,6250,7.890691608464007,"(-6.002761098446133, 21.784144315374146)"
SJF,4,0.95,6500,7.726184469216387,"(-6.049076628330258, 21.50144556676303)"
SJF,4,0.95,6750,7.519414228609809,"(-5.464759139181932, 20.503587596401548)"
SJF,4,0.95,7000,7.39423871911716,"(-4.051611680151112, 18.840089118385432)"
SJF,4,0.95,7250,7.231181764460967,"(-3.4214485889975563, 17.88381211791949)"
SJF,4,0.95,7500,7.123495059360712,"(-3.7396141678641754, 17.9866042865856)"
SJF,4,0.95,7750,7.024086986390271,"(-3.960163539876204, 18.008337512656745)"
SJF,4,0.95,8000,7.058461161554691,"(-6.102413394790874, 20.219335717900258)"
SJF,4,0.95,8250,7.052135163652785,"(-7.37713533443935, 21.481405661744922)"
SJF,4,0.95,8500,7.087269671403337,"(-9.547033798011224, 23.7215731408179)"
SJF,4,0.95,8750,7.182986451364942,"(-12.248142728510693, 26.61411563124058)"
SJF,4,0.95,9000,7.161180346070916,"(-13.57095955642494, 27.893320248566774)"
SJF,4,0.95,9250,7.140428183375382,"(-13.77302894942317, 28.053885316173933)"
SJF,4,0.95,9500,7.003772714219679,"(-13.130952093119646, 27.138497521559003)"
SJF,4,0.95,9750,6.910167982452039,"(-12.851979377511801, 26.672315342415878)"
SJF,4,0.99,0,0.0,"(0.0, 0.0)"
SJF,4,0.99,250,5.693344875945833,"(-32.38655580911401, 43.77324556100567)"
SJF,4,0.99,500,10.659568635916735,"(-89.61107516053178, 110.93021243236527)"
SJF,4,0.99,750,13.071568460564848,"(-110.96267447600356, 137.10581139713327)"
SJF,4,0.99,1000,15.105412117655819,"(-117.0925169264788, 147.30334116179043)"
SJF,4,0.99,1250,15.95711877673738,"(-111.9430434345434, 143.85728098801815)"
SJF,4,0.99,1500,16.08028592984929,"(-111.62625609083287, 143.78682795053143)"
SJF,4,0.99,1750,16.43277961314039,"(-112.07278096569397, 144.93834019197473)"
SJF,4,0.99,2000,15.766762518095192,"(-96.77457942506874, 128.30810446125912)"
SJF,4,0.99,2250,15.060112925050456,"(-84.06184322025555, 114.18206907035648)"
SJF,4,0.99,2500,14.938083714394473,"(-75.89442887523083, 105.77059630401979)"
SJF,4,0.99,2750,14.123816111823299,"(-67.6219031843052, 95.8695354079518)"
SJF,4,0.99,3000,14.212759978634946,"(-65.12230950086676, 93.54782945813666)"
SJF,4,0.99,3250,14.774142374526104,"(-55.430380098898155, 84.97866484795037)"
SJF,4,0.99,3500,15.317955621245623,"(-43.647825988976074, 74.28373723146731)"
SJF,4,0.99,3750,15.270162689978902,"(-30.15642411488672, 60.696749494844525)"
SJF,4,0.99,4000,14.784608473538508,"(-27.00153444603694, 56.57075139311395)"
SJF,4,0.99,4250,14.13454148454359,"(-24.446072865729654, 52.715155834816834)"
SJF,4,0.99,4500,13.533080861979768,"(-22.32647249507118, 49.39263421903072)"
SJF,4,0.99,4750,13.558367763977806,"(-20.676407113122877, 47.79314264107849)"
SJF,4,0.99,5000,13.974955728478157,"(-18.47990815670424, 46.429819613660555)"
SJF,4,0.99,5250,14.262845499973029,"(-17.13308692500655, 45.6587779249526)"
SJF,4,0.99,5500,14.90450534768495,"(-13.758631810118391, 43.567642505488294)"
SJF,4,0.99,5750,16.188354406333517,"(-12.679031072217331, 45.05573988488436)"
SJF,4,0.99,6000,17.977227184117755,"(-10.393801595491116, 46.34825596372663)"
SJF,4,0.99,6250,19.60016522728684,"(-6.187611647225022, 45.3879421017987)"
SJF,4,0.99,6500,21.810643878839386,"(-3.9220409978989856, 47.54332875557776)"
SJF,4,0.99,6750,23.87756401191496,"(0.8760388663249294, 46.87908915750499)"
SJF,4,0.99,7000,26.033239558267887,"(9.049909657406968, 43.0165694591288)"
SJF,4,0.99,7250,28.24741857527829,"(8.487766128786355, 48.00707102177022)"
SJF,4,0.99,7500,30.08821258530638,"(11.90029767855885, 48.27612749205391)"
SJF,4,0.99,7750,32.01455600188498,"(17.801114075360452, 46.227997928409515)"
SJF,4,0.99,8000,33.50617248616883,"(25.46878854909673, 41.54355642324093)"
SJF,4,0.99,8250,35.09221597673286,"(32.8797858224554, 37.304646131010315)"
SJF,4,0.99,8500,35.930057560194975,"(32.24425914100796, 39.61585597938199)"
SJF,4,0.99,8750,36.85319323845984,"(27.664317077789455, 46.04206939913022)"
SJF,4,0.99,9000,37.88111884380558,"(22.092743510037188, 53.669494177573974)"
SJF,4,0.99,9250,38.735710516142376,"(12.689155681209574, 64.78226535107518)"
SJF,4,0.99,9500,39.27727334795095,"(2.9760551505910087, 75.5784915453109)"
SJF,4,0.99,9750,39.36677528512884,"(-4.96321111236329, 83.69676168262097)"
